Conut - Tyre,,,,
Monthly Sales,,,,
30-Jan-26,,,,
,Year: 2025,,Page 1 of, 2
Month,,Year,Total,
Branch Name: Conut,,,,
August,,2025,"554,074,782.88",
September,,2025,"784,385,377.11",
October,,2025,"1,137,352,241.41",
November,,2025,"1,351,165,728.11",
December,,2025,"67,887,513.35",
,,Total for    2025,"3,894,865,642.86",
,,Total by Branch :,"3,894,865,642.86",
Branch Name: Conut - Tyre,,,,
August,,2025,"477,535,459.07",
September,,2025,"444,800,810.51",
October,,2025,"2,100,816,729.45",
November,,2025,"1,129,526,810.42",
December,,2025,"1,024,205,946.30",
,,Total for    2025,"5,176,885,755.76",
,,Total by Branch :,"5,176,885,755.76",
Branch Name: Conut Jnah,,,,
August,,2025,"363,540,268.13",
September,,2025,"714,037,266.45",
October,,2025,"785,925,564.58",
November,,2025,"947,652,050.58",
December,,2025,"2,878,191,130.49",
,,Total for    2025,"5,689,346,280.23",
,,Total by Branch :,"5,689,346,280.23",
Branch Name: Main Street Coffee,,,,
September,,2025,"145,842,540.35",
October,,2025,"920,588,160.21",
November,,2025,"1,171,534,376.20",
December,,2025,"3,074,216,293.59",
,,Total for    2025,"5,312,181,370.32",
,,Total by Branch :,"5,312,181,370.32",
30-Jan-26,,,,
,Year: 2025,,Page 2 of, 2
,,Grand Total:,"20,073,279,049.16",
REP_S_00334_1,"REP_S_00334_1 Copyright © 2026 Omega Software, Inc. All Rights ",,"""www.omegapos.com""",
